Scientific Name,Common Name,Species Group,Federal Listing Status
Drosophila differens,Hawaiian picture-wing fly,Insects,Endangered
Drosophila digressa,Hawaiian picture-wing fly,Insects,Endangered
Drosophila hemipeza,Hawaiian picture-wing fly,Insects,Endangered
Drosophila heteroneura,Hawaiian picture-wing fly,Insects,Endangered
Drosophila montgomeryi,Hawaiian picture-wing fly,Insects,Endangered
Drosophila mulli,Hawaiian picture-wing fly,Insects,Threatened
Drosophila musaphilia,Hawaiian picture-wing fly,Insects,Endangered
Drosophila neoclavisetae,Hawaiian picture-wing fly,Insects,Endangered
Drosophila obatai,Hawaiian picture-wing fly,Insects,Endangered
Drosophila ochrobasis,Hawaiian picture-wing fly,Insects,Endangered
Drosophila sharpi,Hawaiian picture-wing fly,Insects,Endangered
Drosophila substenoptera,Hawaiian picture-wing fly,Insects,Endangered
Drosophila tarphytrichia,Hawaiian picture-wing fly,Insects,Endangered
Drymarchon corais couperi,Eastern indigo snake,Reptiles,Threatened
Dryocopus javensis richardsi,Tristam's woodpecker,Birds,Endangered
Ducula galeata,Marquesas pigeon,Birds,Endangered
Ducula mindorensis,Mindoro imperial (=zone-tailed) pigeon,Birds,Endangered
Dugong dugon,Dugong,Mammals,Endangered
Egretta eulophotes,Chinese egret,Birds,Endangered
Elaphrus viridis,Delta green ground beetle,Insects,Threatened
Elassoma alabamae,Spring pygmy sunfish,Fishes,Threatened
Elephas maximus,Asian elephant,Mammals,Endangered
Eleutherodactylus cooki,Guajon,Amphibians,Threatened
Eleutherodactylus jasperi,Golden coqui,Amphibians,Threatened
Eleutherodactylus juanariveroi,Llanero Coqui,Amphibians,Endangered
Elimia crenatella,Lacy elimia (snail),Snails,Threatened
Elliptio chipolaensis,Chipola slabshell,Clams,Threatened
Elliptio spinosa,Altamaha Spinymussel,Clams,Endangered
Elliptio steinstansana,Tar River spinymussel,Clams,Endangered
Elliptoideus sloatianus,Purple bankclimber (mussel),Clams,Threatened
Emballonura semicaudata rotensis,Pacific sheath-tailed Bat,Mammals,Endangered
Emballonura semicaudata semicaudata,Pacific sheath-tailed Bat,Mammals,Endangered
Emoia slevini,Slevin's skink,Reptiles,Endangered
Empetrichthys latos,Pahrump poolfish,Fishes,Endangered
Empidonax euleri johnstonei,Euler's flycatcher,Birds,Endangered
Empidonax traillii extimus,Southwestern willow flycatcher,Birds,Endangered
Enhydra lutris kenyoni,Northern Sea Otter,Mammals,Threatened
Enhydra lutris nereis,Southern sea otter,Mammals,Threatened
Epicrates inornatus,Puerto Rican boa,Reptiles,Endangered
Epicrates monensis granti,Virgin Islands tree boa,Reptiles,Endangered
Epicrates monensis monensis,Mona boa,Reptiles,Threatened
Epicrates subflavus,Jamaican boa,Reptiles,Endangered
Epioblasma brevidens,Cumberlandian combshell,Clams,Endangered
Epioblasma brevidens,Cumberlandian combshell,Clams,"Experimental Population, Non-Essential"
Epioblasma brevidens,Cumberlandian combshell,Clams,"Experimental Population, Non-Essential"
Epioblasma capsaeformis,Oyster mussel,Clams,Endangered
Epioblasma capsaeformis,Oyster mussel,Clams,"Experimental Population, Non-Essential"
Epioblasma capsaeformis,Oyster mussel,Clams,"Experimental Population, Non-Essential"
Epioblasma florentina curtisii,Curtis pearlymussel,Clams,Endangered
Epioblasma florentina florentina,Yellow blossom (pearlymussel),Clams,Endangered
Epioblasma florentina florentina,Yellow blossom (pearlymussel),Clams,"Experimental Population, Non-Essential"
Epioblasma florentina walkeri (=E. walkeri),Tan riffleshell,Clams,Endangered
Epioblasma metastriata,Upland combshell,Clams,Endangered
Epioblasma obliquata obliquata,Purple Cat's paw (=Purple Cat's paw pearlymussel),Clams,Endangered
Epioblasma obliquata obliquata,Purple Cat's paw (=Purple Cat's paw pearlymussel),Clams,"Experimental Population, Non-Essential"
Epioblasma obliquata perobliqua,White catspaw (pearlymussel),Clams,Endangered
Epioblasma othcaloogensis,Southern acornshell,Clams,Endangered
Epioblasma penita,Southern combshell,Clams,Endangered
Epioblasma torulosa gubernaculum,Green blossom (pearlymussel),Clams,Endangered
Epioblasma torulosa rangiana,Northern riffleshell,Clams,Endangered
Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),Clams,Endangered
Epioblasma torulosa torulosa,Tubercled blossom (pearlymussel),Clams,"Experimental Population, Non-Essential"
Epioblasma triquetra,Snuffbox mussel,Clams,Endangered
Epioblasma turgidula,Turgid blossom (pearlymussel),Clams,Endangered
Epioblasma turgidula,Turgid blossom (pearlymussel),Clams,"Experimental Population, Non-Essential"
Equus africanus,African wild ass,Mammals,Endangered
Equus grevyi,Grevy's zebra,Mammals,Threatened
Equus hemionus,Asian wild ass,Mammals,Endangered
Equus przewalskii,Przewalski's horse,Mammals,Endangered
Equus zebra hartmannae,Hartmann's mountain zebra,Mammals,Threatened
Equus zebra zebra,Mountain zebra,Mammals,Endangered
Eremichthys acros,Desert dace,Fishes,Threatened
Eremophila alpestris strigata,Streaked Horned lark,Birds,Threatened
Eretmochelys imbricata,Hawksbill sea turtle,Reptiles,Endangered
Erignathus barbatus nauticus,bearded Seal,Mammals,Threatened
Erimonax monachus,Spotfin Chub,Fishes,Threatened
Erimonax monachus,Spotfin Chub,Fishes,"Experimental Population, Non-Essential"
Erimonax monachus,Spotfin Chub,Fishes,"Experimental Population, Non-Essential"
Erimonax monachus,Spotfin Chub,Fishes,"Experimental Population, Non-Essential"
Erimystax cahni,Slender chub,Fishes,Threatened
Erimystax cahni,Slender chub,Fishes,"Experimental Population, Non-Essential"
Erinna newcombi,Newcomb's snail,Snails,Threatened
Eriocnemis nigrivestis,black-breasted puffleg,Birds,Endangered
Eschrichtius robustus,Gray whale,Mammals,Endangered
Etheostoma boschungi,Slackwater darter,Fishes,Threatened
Etheostoma chermocki,Vermilion darter,Fishes,Endangered
Etheostoma chienense,Relict darter,Fishes,Endangered
Etheostoma etowahae,Etowah darter,Fishes,Endangered
Etheostoma fonticola,Fountain darter,Fishes,Endangered
Etheostoma moorei,Yellowcheek Darter,Fishes,Endangered
Etheostoma nianguae,Niangua darter,Fishes,Threatened
Etheostoma nuchale,Watercress darter,Fishes,Endangered
Etheostoma okaloosae,Okaloosa darter,Fishes,Threatened
Etheostoma percnurum,Duskytail darter,Fishes,Endangered
Etheostoma percnurum,Duskytail darter,Fishes,"Experimental Population, Non-Essential"
Etheostoma percnurum,Duskytail darter,Fishes,"Experimental Population, Non-Essential"
Etheostoma phytophilum,Rush Darter,Fishes,Endangered
Etheostoma rubrum,Bayou darter,Fishes,Threatened
Etheostoma scotti,Cherokee darter,Fishes,Threatened
Etheostoma sellare,Maryland darter,Fishes,Endangered
Etheostoma sp.,Bluemask (=jewel) Darter,Fishes,Endangered
Etheostoma spilotum,Kentucky arrow darter,Fishes,Threatened
Etheostoma susanae,Cumberland darter,Fishes,Endangered
Etheostoma wapiti,Boulder darter,Fishes,Endangered
Etheostoma wapiti,Boulder darter,Fishes,"Experimental Population, Non-Essential"
Eua zebrina,Snail [no common name],Snails,Endangered
Eubalaena australis,Southern Right Whale,Mammals,Endangered
Eubalaena glacialis,North Atlantic Right Whale,Mammals,Endangered
Eubalaena japonica,North Pacific Right Whale,Mammals,Endangered
Eucyclogobius newberryi,Tidewater goby,Fishes,Endangered
Eudyptes chrysocome,southern rockhopper penguin,Birds,Threatened
Eudyptes pachyrhynchus,fiordland crested penguin,Birds,Threatened
Eudyptes sclateri,erect-crested penguin,Birds,Threatened
Eudyptula albosignata,white-flippered penguin,Birds,Threatened
Eulidia yarrellii,Chilean woodstar,Birds,Endangered
Eumeces egregius lividus,Bluetail mole skink,Reptiles,Threatened
Eumetopias jubatus,Steller sea lion,Mammals,Endangered
Eumops floridanus,Florida bonneted bat,Mammals,Endangered
Euphilotes battoides allyni,El Segundo blue butterfly,Insects,Endangered
Euphilotes enoptes smithi,Smith's blue butterfly,Insects,Endangered
Euphydryas editha bayensis,Bay checkerspot butterfly,Insects,Threatened
Euphydryas editha quino (=E. e. wrighti),Quino checkerspot butterfly,Insects,Endangered
Euphydryas editha taylori,Taylor's (=whulge) Checkerspot,Insects,Endangered
Euphyllia paradivisa,No common name,Corals,Threatened
Euproserpinus euterpe,Kern primrose sphinx moth,Insects,Threatened
Eurycea chisholmensis,Salado Salamander,Amphibians,Threatened
Eurycea nana,San Marcos salamander,Amphibians,Threatened
Eurycea naufragia,Georgetown Salamander,Amphibians,Threatened
Eurycea sosorum,Barton Springs salamander,Amphibians,Endangered
Eurycea tonkawae,Jollyville Plateau Salamander,Amphibians,Threatened
Eurycea waterlooensis,Austin blind Salamander,Amphibians,Endangered
Eutrichomyias rowleyi,Caerulean Paradise flycatcher,Birds,Endangered
Eutriorchis astur,Madagascar serpent eagle,Birds,Endangered
Falco araea,Seychelles kestrel,Birds,Endangered
Falco femoralis septentrionalis,northern aplomado falcon,Birds,Endangered
Falco femoralis septentrionalis,northern aplomado falcon,Birds,"Experimental Population, Non-Essential"
Falco peregrinus peregrinus,Eurasian peregrine falcon,Birds,Endangered
Falco punctatus,Mauritius kestrel,Birds,Endangered
Felis jacobita,Andean cat,Mammals,Endangered
Felis margarita scheffeli,Pakistan sand cat,Mammals,Endangered
Felis nigripes,Black-footed cat,Mammals,Endangered
Felis pardina,Spanish lynx,Mammals,Endangered
Formicivora erythronotos,Black hooded (black-headed) antwren,Birds,Endangered
Foudia flavicans,Rodrigues fody,Birds,Endangered
Foudia rubra,Mauritius fody,Birds,Endangered
Foudia sechellarum,Seychelles fody (weaver-finch),Birds,Endangered
Francolinus ochropectus,Djibouti francolin,Birds,Endangered
Fregata andrewsi,Andrew's frigatebird,Birds,Endangered
Fulica americana alai,Hawaiian coot,Birds,Endangered
Fusconaia burkei,Tapered pigtoe,Clams,Threatened
Fusconaia cor,Shiny pigtoe,Clams,Endangered
Fusconaia cor,Shiny pigtoe,Clams,"Experimental Population, Non-Essential"
Fusconaia cor,Shiny pigtoe,Clams,"Experimental Population, Non-Essential"
Fusconaia cuneolus,Finerayed pigtoe,Clams,Endangered
Fusconaia cuneolus,Finerayed pigtoe,Clams,"Experimental Population, Non-Essential"
Fusconaia cuneolus,Finerayed pigtoe,Clams,"Experimental Population, Non-Essential"
Fusconaia escambia,Narrow pigtoe,Clams,Threatened
Fusconaia rotulata,Round Ebonyshell,Clams,Endangered
Gallicolumba stairi,Friendly Ground-Dove,Birds,Endangered
Gallinula chloropus guami,Mariana common moorhen,Birds,Endangered
Gallinula galeata sandvicensis,Hawaiian common gallinule,Birds,Endangered
Gallirallus (=Tricholimnas) sylvestris,Lord Howe wood rail,Birds,Endangered
Gallotia simonyi simonyi,Hierro giant lizard,Reptiles,Endangered
Gambelia silus,Blunt-nosed leopard lizard,Reptiles,Endangered
Gambusia gaigei,Big Bend gambusia,Fishes,Endangered
Gambusia georgei,San Marcos gambusia,Fishes,Endangered
Gambusia heterochir,Clear Creek gambusia,Fishes,Endangered
Gambusia nobilis,Pecos gambusia,Fishes,Endangered
Gammarus acherondytes,Illinois cave amphipod,Crustaceans,Endangered
Gammarus desperatus,Noel's Amphipod,Crustaceans,Endangered
Gammarus hyalleloides,Diminutive Amphipod,Crustaceans,Endangered
Gammarus pecos,Pecos amphipod,Crustaceans,Endangered
Gasterosteus aculeatus williamsoni,Unarmored threespine stickleback,Fishes,Endangered
Gavialis gangeticus,Gavial,Reptiles,Endangered
Gazella cuvieri,Mountain (=Cuvier's) gazelle,Mammals,Endangered
Gazella dama,Dama gazelle,Mammals,Endangered
Gazella dama lozanoi,Rio de Oro Dama gazelle,Mammals,Endangered
Gazella dama mhorr,Mhorr gazelle,Mammals,Endangered
Gazella dorcas massaesyla,Moroccan gazelle,Mammals,Endangered
Gazella dorcas pelzelni,Pelzeln's gazelle,Mammals,Endangered
Gazella dorcas saudiya,Saudi Arabian gazelle,Mammals,Endangered
Gazella gazella,Arabian gazelle,Mammals,Endangered
Gazella leptoceros,Slender-horned gazelle,Mammals,Endangered
Gazella subgutturosa marica,Sand gazelle,Mammals,Endangered
Geochelone nigra (=elephantopus),Galapagos tortoise,Reptiles,Endangered
Geochelone radiata,Madagascar radiated tortoise,Reptiles,Endangered
Geochelone yniphora,Angulated tortoise,Reptiles,Endangered
Geoclemys hamiltonii,Spotted pond turtle,Reptiles,Endangered
Geopsittacus occidentalis,Night (=Australian) parrot,Birds,Endangered
Geronticus eremita,Northern bald ibis,Birds,Endangered
Gila bicolor ssp.,Hutton tui chub,Fishes,Threatened
Gila bicolor ssp. mohavensis,Mohave tui chub,Fishes,Endangered
Gila bicolor ssp. snyderi,Owens Tui Chub,Fishes,Endangered
Gila boraxobius,Borax Lake chub,Fishes,Endangered
Gila cypha,Humpback chub,Fishes,Endangered
Gila ditaenia,Sonora chub,Fishes,Threatened
Gila elegans,Bonytail chub,Fishes,Endangered
Gila intermedia,Gila chub,Fishes,Endangered
Gila nigrescens,Chihuahua chub,Fishes,Threatened
Gila purpurea,Yaqui chub,Fishes,Endangered
Gila robusta jordani,Pahranagat roundtail chub,Fishes,Endangered
Gila seminuda (=robusta),Virgin River Chub,Fishes,Endangered
Glaucomys sabrinus coloratus,Carolina northern flying squirrel,Mammals,Endangered
Glaucopsyche lygdamus palosverdesensis,Palos Verdes blue butterfly,Insects,Endangered
Gopherus agassizii,Desert tortoise,Reptiles,Threatened
Gopherus agassizii,Desert tortoise,Reptiles,Similarity of Appearance to a Threatened Taxon
Gopherus flavomarginatus,Bolson tortoise,Reptiles,Endangered
Gopherus polyphemus,Gopher tortoise,Reptiles,Threatened
Gorilla gorilla,Gorilla,Mammals,Endangered
Grallaria milleri,Brown-banded antpitta,Birds,Endangered
Graptemys flavimaculata,Yellow-blotched map turtle,Reptiles,Threatened
Graptemys oculifera,Ringed map turtle,Reptiles,Threatened
Grus americana,Whooping crane,Birds,Endangered
Grus americana,Whooping crane,Birds,"Experimental Population, Non-Essential"
Grus americana,Whooping crane,Birds,"Experimental Population, Non-Essential"
Grus americana,Whooping crane,Birds,"Experimental Population, Non-Essential"
Grus canadensis nesiotes,Cuba sandhill crane,Birds,Endangered
Grus canadensis pulla,Mississippi sandhill crane,Birds,Endangered
Grus japonensis,Japanese Crane,Birds,Endangered
Grus leucogeranus,Siberian white Crane,Birds,Endangered
Grus monacha,Hooded Crane,Birds,Endangered
Grus nigricollis,Black-necked Crane,Birds,Endangered
Grus vipio,White-naped Crane,Birds,Endangered
Gymnobelideus leadbeateri,Leadbeater's Possum,Mammals,Endangered
Gymnogyps californianus,California condor,Birds,Endangered
Gymnogyps californianus,California condor,Birds,"Experimental Population, Non-Essential"
Gymnomyza samoensis,Mao (= maomao) (honeyeater),Birds,Endangered
Haematopus meadewaldoi,Canarian black oystercatcher,Birds,Endangered
Haliaeetus albicilla groenlandicus,Greenland white-tailed eagle,Birds,Endangered
Haliaeetus vociferoides,Madagascar sea eagle,Birds,Endangered
Haliotis cracherodii,Black Abalone,Snails,Endangered
Haliotis sorenseni,White Abalone,Snails,Endangered
Hamiota australis,Southern sandshell,Clams,Threatened
Harpia harpyja,Harpy eagle,Birds,Endangered
Helminthoglypta walkeriana,Morro shoulderband (=Banded dune) snail,Snails,Endangered
Hemiargus ceraunus antibubastus,Ceraunus Blue Butterfly,Insects,Similarity of Appearance to a Threatened Taxon
Hemignathus affinis,Maui nukupuu,Birds,Endangered
Hemignathus hanapepe,Kauai nukupuu,Birds,Endangered
Hemignathus wilsoni,akiapolaau,Birds,Endangered
Hemiphaga novaeseelandiae chathamensis,Chatham Island pigeon,Birds,Endangered
Hemistena lata,Cracking pearlymussel,Clams,Endangered
Hemistena lata,Cracking pearlymussel,Clams,"Experimental Population, Non-Essential"
Hemistena lata,Cracking pearlymussel,Clams,"Experimental Population, Non-Essential"
Hemitragus jayakari,Arabian tahr,Mammals,Endangered
Hemitriccus kaempferi,Kaempfer's tody-tyrant,Birds,Endangered
Heraclides aristodemus ponceanus,Schaus swallowtail butterfly,Insects,Endangered
Herpailurus (=Felis) yagouaroundi cacomitli,Gulf Coast jaguarundi,Mammals,Endangered
Herpailurus (=Felis) yagouaroundi fossata,Guatemalan jaguarundi,Mammals,Endangered
Herpailurus (=Felis) yagouaroundi panamensis,Panamanian jaguarundi,Mammals,Endangered
Herpailurus (=Felis) yagouaroundi tolteca,Sinaloan Jaguarundi,Mammals,Endangered
Hesperia dacotae,Dakota Skipper,Insects,Threatened
Hesperia leonardus montana,Pawnee montane skipper,Insects,Threatened
Heterelmis comalensis,Comal Springs riffle beetle,Insects,Endangered
Himantopus mexicanus knudseni,Hawaiian stilt,Birds,Endangered
Himantopus novaezelandiae,Black Stilt,Birds,Endangered
Hippocamelus antisensis,North Andean huemul,Mammals,Endangered
Hippocamelus bisulcus,South Andean huemul,Mammals,Endangered
Hipposideros ridleyi,Singapore roundleaf horseshoe bat,Mammals,Endangered
Hippotragus niger variani,Giant sable antelope,Mammals,Endangered
Huso dauricus,Kaluga sturgeon,Fishes,Endangered
Huso huso,Beluga sturgeon,Fishes,Threatened
Hyaena hyaena barbara,Barbary hyena,Mammals,Endangered
Hybognathus amarus,Rio Grande Silvery Minnow,Fishes,Endangered
Hybognathus amarus,Rio Grande Silvery Minnow,Fishes,"Experimental Population, Non-Essential"
Hylaeus anthracinus,Anthricinan yellow-faced bee,Insects,Endangered
Hylaeus assimulans,Assimulans yellow-faced bee,Insects,Endangered
Hylaeus facilis,Easy yellow-faced bee,Insects,Endangered
Hylaeus kuakea,Hawaiian yellow-faced bee,Insects,Endangered
Hylaeus longiceps,Hawaiian yellow-faced bee,Insects,Endangered
Hylaeus mana,Hawaiian yellow-faced bee,Insects,Endangered
Hylobates spp. (including Nomascus),Gibbons,Mammals,Endangered
Hymenophysa curta,Ayumodoki (loach),Fishes,Endangered
Hypolimnas octocula marianensis,Mariana eight-spot butterfly,Insects,Endangered
Hypomesus transpacificus,Delta smelt,Fishes,Threatened
Hypsipetes borbonicus olivaceus,Mauritius olivaceous Bulbul,Birds,Endangered
Icaricia (Plebejus) shasta charlestonensis,Mount Charleston blue butterfly,Insects,Endangered
Icaricia icarioides fenderi,Fender's blue butterfly,Insects,Endangered
Icaricia icarioides missionensis,Mission blue butterfly,Insects,Endangered
Ictalurus pricei,Yaqui catfish,Fishes,Threatened
Indri indri,Indri lemur,Mammals,Endangered
Ischnura luta,Rota blue damselfly,Insects,Endangered
Isopora crateriformis,No common name,Corals,Threatened
Juturnia kosteri,Koster's springsnail,Snails,Endangered
Kachuga tecta tecta,Indian sawback turtle,Reptiles,Endangered
Kobus leche,Red lechwe,Mammals,Threatened
Lagorchestes hirsutus,Western hare wallaby,Mammals,Endangered
Lagostrophus fasciatus,Banded hare wallaby,Mammals,Endangered
Lagothrix flavicauda,Yellow-tailed woolly monkey,Mammals,Endangered
Lampsilis abrupta,Pink mucket (pearlymussel),Clams,Endangered
Lampsilis altilis,Finelined pocketbook,Clams,Threatened
Lampsilis higginsii,Higgins eye (pearlymussel),Clams,Endangered
Lampsilis perovalis,Orangenacre mucket,Clams,Threatened
Lampsilis powellii,Arkansas fatmucket,Clams,Threatened
Lampsilis rafinesqueana,Neosho Mucket,Clams,Endangered
Lampsilis streckeri,Speckled pocketbook,Clams,Endangered
Lampsilis subangulata,Shinyrayed pocketbook,Clams,Endangered
Lampsilis virescens,Alabama lampmussel,Clams,Endangered
Lampsilis virescens,Alabama lampmussel,Clams,"Experimental Population, Non-Essential"
Lanius ludovicianus mearnsi,San Clemente loggerhead shrike,Birds,Endangered
Lanx sp.,Banbury Springs limpet,Snails,Endangered
Larus audouinii,Audouin's gull,Birds,Endangered
Larus relictus,Relict gull,Birds,Endangered
Lasiorhinus krefftii (formerly L. barnardi and L. gillespiei),Queensland hairy-nosed wombat (incl. Barnard's),Mammals,Endangered
Lasiurus cinereus semotus,Hawaiian hoary bat,Mammals,Endangered
Lasmigona decorata,Carolina heelsplitter,Clams,Endangered
Laterallus tuerosi,Junin rail,Birds,Endangered
Latimeria chalumnae,African coelacanth,Fishes,Threatened
Leiolopisma telfairi,Round Island skink,Reptiles,Threatened
Leiopelma hamiltoni,Stephen Island frog,Amphibians,Endangered
Lemiox rimosus,Birdwing pearlymussel,Clams,Endangered
Lemiox rimosus,Birdwing pearlymussel,Clams,"Experimental Population, Non-Essential"
Lemiox rimosus,Birdwing pearlymussel,Clams,"Experimental Population, Non-Essential"
"Lemuridae (incl. genera Lemur, Phaner, Hapalemur, Lepilemur, Microcebus, Allocebus, Cheirogaleus, Varecia)",Lemurs,Mammals,Endangered
Leontopithecus spp.,Golden-rumped tamarin,Mammals,Endangered
Leopardus (=Felis) pardalis,Ocelot,Mammals,Endangered
Leopardus (=Felis) tigrinus,Tiger cat,Mammals,Endangered
Leopardus (=Felis) wiedii,Margay,Mammals,Endangered
Lepidochelys kempii,Kemp's ridley sea turtle,Reptiles,Endangered
Lepidochelys olivacea,Olive ridley sea turtle,Reptiles,Endangered
Lepidochelys olivacea,Olive ridley sea turtle,Reptiles,Threatened
Lepidomeda albivallis,White River spinedace,Fishes,Endangered
Lepidomeda mollispinis pratensis,Big Spring spinedace,Fishes,Threatened
Lepidomeda vittata,Little Colorado spinedace,Fishes,Threatened
Lepidurus packardi,Vernal pool tadpole shrimp,Crustaceans,Endangered
Leporillus conditor,Stick-nest rat,Mammals,Endangered
Leptailurus (=Felis) serval constantina,Barbary serval,Mammals,Endangered
Leptasthenura xenothorax,White-browed tit-spinetail,Birds,Endangered
Leptodea leptodon,Scaleshell mussel,Clams,Endangered
Leptonycteris curasoae yerbabuenae,Lesser long-nosed bat,Mammals,Endangered
Leptonycteris nivalis,Mexican long-nosed bat,Mammals,Endangered
Leptoptilos dubius,Greater adjutant,Birds,Endangered
Leptotes cassius theonus,Cassius Blue Butterfly,Insects,Similarity of Appearance to a Threatened Taxon
Leptotila rufaxilla wellsi,Grenada gray-fronted dove,Birds,Endangered
Leptoxis ampla,Round rocksnail,Snails,Threatened
Leptoxis foremani,Interrupted (=Georgia) Rocksnail,Snails,Endangered
Leptoxis plicata,Plicate rocksnail,Snails,Endangered
Leptoxis taeniata,Painted rocksnail,Snails,Threatened
Lepyrium showalteri,Flat pebblesnail,Snails,Endangered
Leucopeza semperi,Semper's warbler (=wood),Birds,Endangered
Leucopsar rothschildi,Rothschild's starling (myna),Birds,Endangered
Lichenostomus melanops cassidix (=Meliphaga c.),Helmeted honeyeater,Birds,Endangered
Liophus ornatus,Maria Island snake,Reptiles,Endangered
Lioplax cyclostomaformis,Cylindrical lioplax (snail),Snails,Endangered
Lipotes vexillifer,Chinese River Dolphin,Mammals,Endangered
Lirceus usdagalun,Lee County cave isopod,Crustaceans,Endangered
Lontra (=Lutra) felina,Marine otter,Mammals,Endangered
Lontra (=Lutra) longicaudis (incl. platensis),Long-tailed otter,Mammals,Endangered
Lontra (=Lutra) provocax,Southern river otter,Mammals,Endangered
Lophophorus lhuysii,Chinese monal pheasant,Birds,Endangered
Lophophorus sclateri,Sclater's monal pheasant,Birds,Endangered
Lophura edwardsi,Edward's pheasant,Birds,Endangered
Lophura imperialis,Imperial pheasant,Birds,Endangered
Lophura swinhoii,Swinhoe's pheasant,Birds,Endangered
Loxioides bailleui,Palila (honeycreeper),Birds,Endangered
Loxodonta africana,African elephant,Mammals,Threatened
Loxops caeruleirostris,Akekee,Birds,Endangered
Loxops coccineus,Hawaii akepa,Birds,Endangered
Loxops ochraceus,Maui akepa,Birds,Endangered
Lycaeides argyrognomon lotis,Lotis blue butterfly,Insects,Endangered
Lycaeides melissa samuelis,Karner blue butterfly,Insects,Endangered
Lycaon pictus,African wild dog,Mammals,Endangered
Lynx (=Felis) rufus escuinapae,Mexican bobcat,Mammals,Endangered
Lynx canadensis,Canada Lynx,Mammals,Threatened
Macaca arctoides,Stump-tailed macaque,Mammals,Threatened
Macaca cyclopis,Formosan rock macaque,Mammals,Threatened
Macaca fuscata,Japanese macaque,Mammals,Threatened
Macaca silenus,Lion-tailed macaque,Mammals,Endangered
Macaca sinica,Toque macaque,Mammals,Threatened
Macrocephalon maleo,Maleo megapode,Birds,Endangered
Macropus giganteus tasmaniensis,Tasmanian forester kangaroo,Mammals,Endangered
Macropus parma,Parma wallaby,Mammals,Endangered
Macrotis lagotis,Rabbit bandicoot,Mammals,Endangered
Macrotis leucura,Lesser rabbit bandicoot,Mammals,Endangered
Malaconotus alius,Ulugura bush-shrike,Birds,Threatened
Malimbus ibadanensis,Ibadan malimbe,Birds,Endangered
Mandrillus (=Papio) leucophaeus,Drill,Mammals,Endangered
Mandrillus (=Papio) sphinx,Mandrill,Mammals,Endangered
Manduca blackburni,Blackburn's sphinx moth,Insects,Endangered
Manis temminckii,Temnick's ground Pangolin,Mammals,Endangered
Margaritifera hembeli,Louisiana pearlshell,Clams,Threatened
Margaritifera marrianae,Alabama pearlshell,Clams,Endangered
Marmota vancouverensis,Vancouver Island marmot,Mammals,Endangered
Martes flavigula chrysospila,Formosan yellow-throated marten,Mammals,Endangered
Masticophis lateralis euryxanthus,Alameda whipsnake (=striped racer),Reptiles,Threatened
Meda fulgida,Spikedace,Fishes,Endangered
Medionidus acutissimus,Alabama moccasinshell,Clams,Threatened
Medionidus parvulus,Coosa moccasinshell,Clams,Endangered
Medionidus penicillatus,Gulf moccasinshell,Clams,Endangered
Medionidus simpsonianus,Ochlockonee moccasinshell,Clams,Endangered
Medionidus walkeri,Suwannee moccasinshell,Clams,Threatened
Megadyptes antipodes,yellow-eyed penguin,Birds,Threatened
Megalagrion leptodemas,Crimson Hawaiian damselfly,Insects,Endangered
Megalagrion nesiotes,Flying earwig Hawaiian damselfly,Insects,Endangered
Megalagrion nigrohamatum nigrolineatum,Blackline Hawaiian damselfly,Insects,Endangered
Megalagrion oceanicum,Oceanic Hawaiian damselfly,Insects,Endangered
Megalagrion pacificum,Pacific Hawaiian damselfly,Insects,Endangered
Megalagrion xanthomelas,Orangeblack Hawaiian damselfly,Insects,Endangered
Megalonaias nicklineana,Nicklin's pearlymussel,Clams,Endangered
Megapodius laperouse,Micronesian megapode,Birds,Endangered
Megaptera novaeangliae,Humpback whale,Mammals,Endangered
Megaptera novaeangliae,Humpback whale,Mammals,Endangered
Megaptera novaeangliae,Humpback whale,Mammals,Endangered
Megaptera novaeangliae,Humpback whale,Mammals,Endangered
Megaptera novaeangliae,Humpback whale,Mammals,Threatened
Melamprosops phaeosoma,Po`ouli (honeycreeper),Birds,Endangered
Melanochelys tricarinata,Three-keeled Asian turtle,Reptiles,Endangered
Melanosuchus niger,Black caiman,Reptiles,Endangered
Menidia extensa,Waccamaw silverside,Fishes,Threatened
Mergus octosetaceus,Brazillian merganser,Birds,Endangered
Mesodon clarki nantahala,noonday snail,Snails,Threatened
Microhexura montivaga,Spruce-fir moss spider,Arachnids,Endangered
Microtus californicus scirpensis,Amargosa vole,Mammals,Endangered
Microtus mexicanus hualpaiensis,Hualapai Mexican vole,Mammals,Endangered
Microtus pennsylvanicus dukecampbelli,Florida salt marsh vole,Mammals,Endangered
Mimizuku (=Otus) gurneyi,Giant scops owl,Birds,Endangered
Mimus graysoni,Socorro mockingbird,Birds,Endangered
Mitu mitu mitu,Razor-billed curassow,Birds,Endangered
Moapa coriacea,Moapa dace,Fishes,Endangered
Moho braccatus,Kauai `o`o (honeyeater),Birds,Endangered
Monachus monachus,Mediterranean monk seal,Mammals,Endangered
Monachus schauinslandi,Hawaiian monk seal,Mammals,Endangered
Montipora australiensis,No common name,Corals,Threatened
Morenia ocellata,Burmese peacock turtle,Reptiles,Endangered
Moschus spp. (all species),Musk deer,Mammals,Endangered
Muntiacus feae,Fea's muntjac,Mammals,Endangered
Mustela nigripes,Black-footed ferret,Mammals,Endangered
Mustela nigripes,Black-footed ferret,Mammals,"Experimental Population, Non-Essential"
Myadestes lanaiensis rutha,Molokai thrush,Birds,Endangered
